しみんびょういん,市民病院,Municipal Hospital,6
つぎ,次,next,6
テレビゲーム,,video game,6
でんき,電気,electricity,6
でんしゃ,電車,train,6
にもつ,荷物,baggage,6
ページ,,page,6
まど,窓,window,6
よる,夜,night,6
らいしゅう,来週,next week,6
らいねん,来年,next year,6
たいへん（な）,大変,tough (situation),6
あそぶ,遊ぶ,to play; to spend time pleasantly,6
いそぐ,急ぐ,to hurry,6
おふろにはいる,お風呂に入る,to take a bath,6
かえす,返す,to return (things),6
けす,消す,to turn off; to erase,6
しぬ,死ぬ,to die,6
すわる,座る,to sit down,6
たつ,立つ,to stand up,6
たばこをすう,たばこを吸う,to smoke,6
つかう,使う,to use,6
てつだう,手伝う,to help,6
はいる,入る,to enter,6
もつ,持つ,to carry; to hold,6
やすむ,休む,to be absent (from...); to rest,6
あける,開ける,to open (something),6
おしえる,教える,to teach; to instruct,6
おりる,降りる,to get off,6
かりる,借りる,to borrow,6
しめる,閉める,to close (something),6
つける,,to turn on,6
でんわをかける,電話をかける,to make a phone call,6
わすれる,忘れる,to forget; to leave behind,6
つれてくる,連れてくる,to bring (a person),6
もってくる,持ってくる,to bring (a thing),6
あとで,後で,later on,6
おそく,遅く,(do something) late,6
〜から,,because ...,6
けっこうです,結構です,That would be fine.; That wouldn't be necessary.,6
すぐ,,right away,6
ほんとうですか,本当ですか,Really?,6
ゆっくり,,slowly; leisurely; unhurriedly,6
あね,姉,(my) older sister,7
アパート,,apartment,7
いもうと,妹,younger sister,7
うた,歌,song,7
おとうと,弟,younger brother,7
おとこのひと,男の人,man,7
おにいさん,お兄さん,older brother,7
おねえさん,お姉さん,older sister,7
おんなのひと,女の人,woman,7
かいしゃ,会社,company,7
かぞく,家族,family,7
かみ,髪,hair,7
きょうだい,兄弟,brothers and sisters,7
くに,国,country; place of origin,7
くるま,車,car,7
コンビニ,,convenience store,7
しょくどう,食堂,cafeteria; dining commons,7
ちち,父,(my) father,7
Tシャツ,,T-shirt,7
め,目,eye,7
めがね,眼鏡,glasses,7
あたまがいい,頭がいい,bright; smart; clever,7
かっこいい,,great-looking,7
かわいい,,cute,7
せがたかい,背が高い,tall,7
せがひくい,背が低い,short (stature),7
ながい,長い,long,7
はやい,早い,fast,7
みじかい,短い,short (length),7
しんせつ,親切,kind,7
べんり,便利,convenient,7
うたう,歌う,to sing,7
かぶる,,to put on (a hat),7
しる,知る,to get to know,7
しっています,知っています,I know,7
しりません,知りません,I do not know,7
すむ,住む,to live,7
はく,,to put on (items below your waist),7
ふとる,太る,to gain weight,7
ふとっています,太っています,to be on the heavy side,7
めがねをかける,,to put on glasses,7
きる,着る,to put on (clothes above your waist),7
やせる,,to lose weight,7
やせています,,to be thin,7
けっこんする,結婚する,to get married,7
が,,but,7
ひとり,一人,one person,7
ふたり,二人,two people,7
もちろん,,of course,7
よかったら,,if you like,7
ざんねんですね,残念ですね,That's too bad.,8
あさって,,the day after tomorrow,8
あめ,雨,rain,8
かいしゃいん,会社員,office worker,8
カメラ,,camera,8
カラオケ,,karaoke,8
くうき,空気,air,8
けさ,今朝,this morning,8
こんげつ,今月,this month,8
しごと,仕事,job; work; occupation,8
だいがくせい,大学生,college student,8
ディスコ,,disco,8
てんきよほう,天気予報,weather forecast,8
ところ,所,place,8
トマト,,tomato,8
なつ,夏,summer,8
なにか,何か,something,8
パーティー,,party,8
バーベキュー,,barbecue,8
はし,,chopsticks,8
ふゆ,冬,winter,8
ホームステイ,,homestay; living with a local family,8
まいしゅう,毎週,every week,8
らいげつ,来月,next month,8
じょうず,上手,skillful; good at...,8
へた,下手,clumsy; poor at...,8
ゆうめい,有名,famous,8
あめがふる,雨が降る,it rains,8
あらう,洗う,to wash,8
いう,言う,to say,8
いる,,to need,8
おそくなる,遅くなる,to be late (for ...),8
おもう,思う,to think,8
きる,切る,to cut,8
つくる,作る,to make,8
もっていく,持っていく,to take (something),8
じろじろみる,じろじろ見る,to stare (at ...),8
はじめる,始める,to begin,8
うんてんする,運転する,to drive,8
せんたくする,洗濯する,to do laundry,8
そうじする,掃除する,to clean,8
りょうりする,料理する,to cook,8
ううん,,uh-uh; no,8
うん,,uh-huh; yes,8
かんぱい,乾杯,Cheers! (a toast),8
みんなで,,all (of the people) together,8
いいこ,いい子,good child,9
いろ,色,color,9
おべんとう,お弁当,boxed lunch,9
おんせん,温泉,spa; hot spring,9
かぶき,,Kabuki; traditional Japanese theatrical art,9
ギター,,guitar,9
くすり,薬,medicine,9
くすりをのむ,薬を飲む,to take medicine,9
コンサート,,concert,9
こんど,今度,near future,9
さくぶん,作文,essay; composition,9
しけん,試験,exam,9
しんかんせん,新幹線,Shinkansen; ,9
スキー,,ski,9
せんげつ,先月,last month,9
たんご,単語,word; vocabulary,9
ピアノ,,piano,9
びょうき,病気,illness; sickness,9
あおい,青い,blue,9
あかい,赤い,red,9
くろい,黒い,black,9
さびしい,寂しい,lonely,9
しろい,白い,white,9
わかい,若い,young,9
いじわる,意地悪,mean-spirited,9
おどる,踊る,to dance,9
おわる,終わる,(something) ends,9
にんきがある,人気がある,to be popular,9
はじまる,始まる,(something) begins,9
ひく,弾く,to play (a string instrument or piano),9
もらう,,to get (from somebody),9
おぼえる,覚える,to memorize,9
でる,出る,(1) to appear; to attend (2) to exit,9
うんどうする,運動する,to do physical exercises,9
さんぽする,散歩する,to take a walk,9
ぜひ,是非,by all means,9
みんな,,all,9
もう,,already,9
ひとつ,一つ,one,9
ふたつ,二つ,two,9
みっつ,三つ,three,9
よっつ,四つ,four,9
いつつ,五つ,five,9
むっつ,六つ,six,9
ななつ,七つ,seven,9
やっつ,八つ,eight,9
ここのつ,九つ,nine,9
とお,十,ten,9
あき,秋,fall,10
えき,駅,station,10
おかねもち,お金持ち,rich person,10
かお,顔,face,10
きせつ,季節,season,10
クレジットカード,,credit card,10
ことし,今年,this year,10
サッカー,,soccer,10
シャツ,,shirt,10
せいかつ,生活,life; living,10
せかい,世界,world,10
ちかてつ,地下鉄,subway,10
てぶくろ,手袋,gloves,10
とこや,床屋,barber's,10
はる,春,spring,10
パンツ,,pants,10
びよういん,美容院,beauty parlor,10
びん,便,flight,10
ふね,船,ship; boat,10
やきゅう,野球,baseball,10
ゆうめいじん,有名人,celebrity,10
よやく,予約,reservation,10
